	protein1	protein2	cost
28714	PA14_13090	PA14_38490	0.5
28715	PA14_17880	PA14_38490	0.5
28716	PA14_31530	PA14_38490	0.5
28717	PA14_38490	PA14_38630	0.5
28718	PA14_38490	PA14_42090	0.5
28719	PA14_38490	PA14_63250	0.5
28721	PA14_38590	PA14_38640	0.5
28722	PA14_38590	PA14_38660	0.5
28726	PA14_38490	PA14_38640	0.5
28727	PA14_38490	PA14_38660	0.5
28729	PA14_38490	PA14_38590	0.5
28730	PA14_13090	PA14_38640	0.5
28731	PA14_13090	PA14_38660	0.5
28732	PA14_17880	PA14_38640	0.5
28733	PA14_17880	PA14_38660	0.5
28734	PA14_31530	PA14_38640	0.5
28735	PA14_31530	PA14_38660	0.5
28736	PA14_38630	PA14_38640	0.5
28737	PA14_38630	PA14_38660	0.5
28738	PA14_38640	PA14_42090	0.5
28739	PA14_38660	PA14_42090	0.5
28740	PA14_38640	PA14_63250	0.5
28741	PA14_38660	PA14_63250	0.5
28744	PA14_70720	PA14_70730	0.5
28747	PA14_51770	PA14_70720	0.5
28749	PA14_51770	PA14_70730	0.5
28750	PA14_08400	PA14_66900	0.5
28753	PA14_48440	PA14_66900	0.5
28754	PA14_51990	PA14_66900	0.5
28755	PA14_65760	PA14_66900	0.5
28760	PA14_08400	PA14_23220	0.5
28763	PA14_66900	PA14_68980	0.5
28766	PA14_03130	PA14_68955	0.5
28767	PA14_11860	PA14_68955	0.5
28768	PA14_68955	PA14_69150	0.5
28773	PA14_23220	PA14_68955	0.5
28776	PA14_09210	PA14_70720	0.5
28779	PA14_23220	PA14_68980	1.0
28786	PA14_03130	PA14_70730	0.5
28787	PA14_11860	PA14_70730	0.5
28788	PA14_69150	PA14_70730	0.5
28793	PA14_01730	PA14_11690	0.5
28794	PA14_11690	PA14_33240	0.5
28795	PA14_11690	PA14_69230	0.5
28800	PA14_11690	PA14_73230	0.5
28801	PA14_11690	PA14_73240	0.5
28802	PA14_11690	PA14_73250	0.5
28803	PA14_11690	PA14_73260	0.5
28804	PA14_11690	PA14_73280	0.5
28805	PA14_11690	PA14_73290	0.5
28806	PA14_11690	PA14_73300	0.5
28807	PA14_11690	PA14_73310	0.5
28817	PA14_18610	PA14_18740	0.5
28818	PA14_18740	PA14_68340	0.5
28822	PA14_24445	PA14_46970	0.5
28825	PA14_24445	PA14_57210	0.5
28826	PA14_24445	PA14_68740	0.5
28830	PA14_46970	PA14_68350	0.5
28832	PA14_03860	PA14_68350	0.5
28833	PA14_03880	PA14_68350	0.5
28834	PA14_20670	PA14_68350	0.5
28835	PA14_38140	PA14_68350	0.5
28836	PA14_44240	PA14_68350	0.5
28837	PA14_67600	PA14_68350	0.5
28838	PA14_68350	PA14_72690	0.5
28839	PA14_68350	PA14_72850	0.5
28848	PA14_68330	PA14_68770	0.5
28849	PA14_68330	PA14_71180	0.5
28853	PA14_18610	PA14_68770	0.5
28854	PA14_68340	PA14_68770	0.5
28855	PA14_18610	PA14_71180	0.5
28856	PA14_68340	PA14_71180	0.5
28857	PA14_57210	PA14_70280	0.5
28858	PA14_68740	PA14_70280	0.5
28862	PA14_18610	PA14_57210	0.5
28863	PA14_57210	PA14_68340	0.5
28867	PA14_18610	PA14_68350	0.5
28868	PA14_68340	PA14_68350	0.5
28872	PA14_57210	PA14_60710	0.5
28873	PA14_60710	PA14_68740	0.5
28875	PA14_08480	PA14_70280	0.5
28878	PA14_46970	PA14_60710	0.5
28880	PA14_03860	PA14_60710	0.5
28881	PA14_03880	PA14_60710	0.5
